ad_id,objective,publisher_platform,age,gender,action_type,stat,amount
23853143351830403,,,55-64,female,video_view,7d_click,25.0
23853143351830403,,,55-64,female,video_view,value,5499.0
23853143838330403,OUTCOME_SALES,audience_network,,,video_view,value,8.0
23853143838330403,OUTCOME_SALES,facebook,,,video_view,7d_click,144.0
23853143838330403,OUTCOME_SALES,facebook,,,video_view,value,15868.0
23853143838330403,OUTCOME_SALES,instagram,,,video_view,7d_click,1.0
23853143838330403,OUTCOME_SALES,instagram,,,video_view,value,1190.0
23853143838330403,,,18-24,female,video_view,value,37.0
23853143838330403,,,25-34,female,video_view,7d_click,6.0
23853143838330403,,,25-34,female,video_view,value,750.0
23853143838330403,,,35-44,female,video_view,7d_click,49.0
23853143838330403,,,35-44,female,video_view,value,4788.0
23853143838330403,,,45-54,female,video_view,7d_click,53.0
23853143838330403,,,45-54,female,video_view,value,5245.0
23853143838330403,,,55-64,female,video_view,7d_click,37.0
23853143838330403,,,55-64,female,video_view,value,6246.0
23853196506940403,OUTCOME_SALES,audience_network,,,video_view,value,7.0
23853196506940403,OUTCOME_SALES,facebook,,,video_view,7d_click,129.0
23853196506940403,OUTCOME_SALES,facebook,,,video_view,value,11251.0
23853196506940403,OUTCOME_SALES,instagram,,,video_view,7d_click,2.0
23853196506940403,OUTCOME_SALES,instagram,,,video_view,value,712.0
23853196506940403,,,18-24,female,video_view,7d_click,3.0
23853196506940403,,,18-24,female,video_view,value,26.0
23853196506940403,,,25-34,female,video_view,7d_click,2.0
23853196506940403,,,25-34,female,video_view,value,344.0
23853196506940403,,,35-44,female,video_view,7d_click,16.0
23853196506940403,,,35-44,female,video_view,value,1739.0
23853196506940403,,,45-54,female,video_view,7d_click,44.0
23853196506940403,,,45-54,female,video_view,value,3146.0
23853196506940403,,,55-64,female,video_view,7d_click,66.0
23853196506940403,,,55-64,female,video_view,value,6715.0
23854844124240403,OUTCOME_SALES,facebook,,,video_view,7d_click,6.0
23854844124240403,OUTCOME_SALES,facebook,,,video_view,value,722.0
23854844124240403,OUTCOME_SALES,instagram,,,video_view,value,222.0
23854844124240403,,,18-24,female,video_view,value,28.0
23854844124240403,,,25-34,female,video_view,value,129.0
23854844124240403,,,35-44,female,video_view,7d_click,1.0
23854844124240403,,,35-44,female,video_view,value,319.0
23854844124240403,,,45-54,female,video_view,7d_click,5.0
23854844124240403,,,45-54,female,video_view,value,468.0
23855304022460403,OUTCOME_SALES,facebook,,,video_view,value,11.0
23855304022460403,,,18-24,female,video_view,value,3.0
23855304022460403,,,25-34,female,video_view,value,3.0
23855304022460403,,,35-44,female,video_view,value,2.0
23855304022460403,,,45-54,female,video_view,value,3.0
23855304310650403,OUTCOME_SALES,facebook,,,video_view,value,3.0
23855304310650403,,,25-34,female,video_view,value,2.0
23855304310650403,,,45-54,female,video_view,value,2.0
23855304331280403,OUTCOME_SALES,facebook,,,video_view,value,3.0
23855304331280403,,,18-24,female,video_view,value,2.0
23855304331280403,,,45-54,female,video_view,value,1.0
23855304365010403,OUTCOME_SALES,facebook,,,video_view,7d_click,0.0
23855304365010403,OUTCOME_SALES,facebook,,,video_view,value,1.0
23855304365010403,,,25-34,female,video_view,7d_click,0.0
23855304365010403,,,25-34,female,video_view,value,0.0
23855304365010403,,,35-44,female,video_view,value,1.0
23855304365010403,,,45-54,female,video_view,7d_click,0.0
23855304365010403,,,45-54,female,video_view,value,0.0
23855304730780403,OUTCOME_SALES,facebook,,,video_view,value,15.0
23855304730780403,OUTCOME_SALES,instagram,,,video_view,value,2.0
23855304730780403,,,18-24,female,video_view,value,2.0
23855304730780403,,,25-34,female,video_view,value,3.0
